transcript_id,bw2-FR1,bw2-FR2,bw2-FR3,bw2-R1,bw2-R2,bw2-R3
rna-gnl|JCVI|mRNA.AT1G36933.1,0,0,0,0,0,0
rna-NM_001332998.1,259,555,123,145,111,5044
rna-gnl|JCVI|mRNA.AT1G43444.1,2,0,0,0,0,0
rna-NM_202102.3,0,0,0,0,0,0
rna-NM_001332885.1,0,0,0,0,0,0
rna-NM_104119.3,0,0,0,0,0,0
rna-NM_106536.5,1194,1474,1262,898,808,1944
rna-NM_001333213.1,0,0,0,0,0,0
rna-NM_104477.1,0,0,0,0,0,0
MSTRG.11041.1,2,2,2,6,6,23
rna-NM_104267.2,0,3,0,0,0,0
MSTRG.14117.1,14,28,12,103,118,68
MSTRG.7407.1,6,17,22,11,7,16
rna-gnl|JCVI|mRNA.AT1G41700.1,0,0,0,0,0,0
rna-NR_138906.1,0,0,0,0,0,0
MSTRG.15240.1,34,37,36,21,26,70
MSTRG.3188.4,241,408,334,927,1047,1404
rna-NM_001332904.1,0,0,0,0,0,0
rna-NM_001334291.1,0,0,0,0,0,0
MSTRG.10001.1,41,23,23,39,11,97
MSTRG.3488.1,214,293,229,150,158,144
rna-NM_105983.3,0,0,0,0,0,0
rna-NM_202357.3,81,85,69,65,38,36
rna-NM_100700.2,10,12,10,20,16,2
rna-NM_001333991.1,0,0,0,0,0,0
MSTRG.13284.1,151,201,180,162,186,457
MSTRG.8388.1,255,427,382,515,569,647
rna-NR_138861.1,0,0,0,0,0,0
MSTRG.5781.1,3,13,12,15,8,27
MSTRG.13892.1,29,35,30,31,34,68
rna-NM_001332972.1,0,0,0,0,0,0
rna-NM_001198151.2,90,99,119,133,67,319
rna-NM_179456.3,0,0,0,0,0,0
MSTRG.17492.1,630,955,784,1668,1419,1532
rna-NM_001332891.1,17,52,29,65,33,205
rna-NM_001084350.2,0,0,0,0,0,0
MSTRG.17747.1,97,115,128,325,189,272
MSTRG.18103.1,8,6,9,33,52,38
rna-NM_104554.4,0,0,0,0,0,0
MSTRG.16084.1,17,21,16,88,67,85
MSTRG.1547.2,2136,3609,2956,4933,4649,4778
MSTRG.18082.1,5,7,0,2,6,22
MSTRG.8897.1,54,72,38,33,38,51
rna-NM_001332685.1,0,0,0,0,0,0
MSTRG.16703.1,9,23,14,18,8,71
rna-NM_102417.4,0,0,0,0,0,0
MSTRG.154.2,1157,1278,1800,19246,14732,21155
MSTRG.8147.1,51,88,58,216,152,631
MSTRG.9311.1,151,176,134,312,308,214
rna-NM_102583.2,3,0,0,0,0,0
rna-NM_102965.1,0,0,0,0,0,0
rna-NR_138673.1,4,4,7,7,9,5
rna-NM_103640.3,0,0,0,0,0,0
rna-NM_202069.3,0,0,0,0,0,0
MSTRG.18113.1,570,756,777,1232,1088,1007
MSTRG.13293.1,0,9,3,24,5,22
MSTRG.11658.1,3238,4154,3834,4295,3891,3821
MSTRG.13194.1,166,255,247,167,176,148
MSTRG.17339.1,279,384,316,3997,2694,2930
MSTRG.16758.1,23,31,21,121,65,78
MSTRG.11256.1,3685,4691,4241,2343,2113,2080
rna-NM_001332741.1,0,0,0,0,0,0
MSTRG.10069.1,880,1228,1136,1864,1729,2322
rna-NM_001084328.2,0,0,0,0,0,0
MSTRG.3802.1,174,350,211,242,266,152
MSTRG.14469.1,22,25,32,38,32,61
MSTRG.3802.8,17,27,25,23,32,22
rna-NM_001333911.1,0,0,0,0,0,0
MSTRG.4153.2,226,269,292,2277,2026,3134
rna-NM_100568.4,535,635,690,825,568,4122
MSTRG.7161.1,3,23,13,9,3,45
rna-NM_102402.4,3,11,11,23,49,9
MSTRG.18184.1,1598,2204,1751,2627,2200,3013
MSTRG.17567.1,639,976,831,377,381,412
MSTRG.13535.1,1315,1936,1731,2633,2241,4083
MSTRG.13816.1,171,262,216,443,408,524
rna-NM_105553.3,0,0,0,3,6,3
MSTRG.6037.1,11,11,13,11,8,60
rna-NM_105430.3,34,25,0,130,71,259
rna-NR_139176.1,0,0,0,0,0,0
MSTRG.9391.1,26,69,54,91,108,73
rna-NM_180649.4,0,0,0,0,0,0
MSTRG.18321.1,34,49,37,166,142,128
MSTRG.6392.1,181,330,222,649,552,585
rna-NM_100596.4,412,619,431,719,804,947
MSTRG.5294.6,851,1393,1010,1011,798,893
MSTRG.336.1,46061,74537,58505,16387,16330,15513
MSTRG.4160.4,5,20,26,70,57,172
MSTRG.4160.2,21,25,34,215,160,146
rna-NM_001083977.4,0,0,0,0,0,0
rna-gnl|JCVI|mRNA.AT1G52840.1,0,0,0,0,0,0
MSTRG.15757.1,2034,3180,2460,1110,1096,1242
MSTRG.16951.1,46,71,52,26,24,109
rna-NM_001331444.1,0,0,0,0,0,0
MSTRG.14575.1,72,106,73,88,94,157
MSTRG.15426.1,64,81,83,53,19,22
MSTRG.11314.1,76,131,109,818,798,902
rna-NR_143527.1,0,2,0,0,0,0
